team_id,system_id,micro_average_P,micro_average_R,micro_average_F,micro_average_SU,macro_average_P,macro_average_R,macro_average_F,macro_average_SU,weighted_average_P,weighted_average_R,weighted_average_F,weighted_average_SU
CompInsights,ssf_baseline_1,0.37632051026509866,0.6877959927140255,0.4864725586189126,0.41190042501517915,0.4526388065245406,0.8143644319125263,0.5818658285224749,0.42555669786182637,0.014833051546029024,0.017194899817850634,0.015926890385791325,0.014851244687310264
CompInsights,ccr_baseline_1,0.37662078595651305,0.6877959927140255,0.4867233823150296,0.41238615664845174,0.4659721398578739,0.8143644319125263,0.5927677851733997,0.4267262885051013,0.014971485061511719,0.017194899817850634,0.016006348660107465,0.01486338797814208
LSIS_LIA,upd_snippet_S4,0.4883116883116883,0.13697632058287795,0.2139402560455192,0.37680631451123253,0.4149599030071482,0.2112289871768831,0.2799524597297073,0.32704116974654057,0.012913946289231454,0.003424408014571949,0.005413350739040014,0.009705525197328473
LSIS_LIA,upd_doc_S4_3,0.6115107913669064,0.15482695810564662,0.24709302325581395,0.4037644201578628,0.39572164496662915,0.2096543452486108,0.2740933360990545,0.3382458207154379,0.01331882450492837,0.0038706739526411654,0.005998176993735777,0.010324833029751063
LSIS_LIA,upd_doc_S4_2,0.6115107913669064,0.15482695810564662,0.24709302325581395,0.4037644201578628,0.39572164496662915,0.2096543452486108,0.2740933360990545,0.3382458207154379,0.01331882450492837,0.0038706739526411654,0.005998176993735777,0.010324833029751063
LSIS_LIA,no_update_S4,0.4870259481037924,0.08888888888888889,0.1503388786198398,0.36138433515482693,0.38673048398244936,0.13941309379306613,0.20494517281397506,0.31682693494031783,0.014396374759594611,0.0022222222222222222,0.0038501377637611763,0.009207650273224045
LSIS_LIA,upd_document_S4,0.6115107913669064,0.15482695810564662,0.24709302325581395,0.4037644201578628,0.39572164496662915,0.2096543452486108,0.2740933360990545,0.3382458207154379,0.01331882450492837,0.0038706739526411654,0.005998176993735777,0.010324833029751063
LSIS_LIA,upd_snpt_S4_2,0.4883116883116883,0.13697632058287795,0.2139402560455192,0.37680631451123253,0.4149599030071482,0.2112289871768831,0.2799524597297073,0.32704116974654057,0.012913946289231454,0.003424408014571949,0.005413350739040014,0.009705525197328473
LSIS_LIA,upd_snpt_S4_3,0.4883116883116883,0.13697632058287795,0.2139402560455192,0.37680631451123253,0.4149599030071482,0.2112289871768831,0.2799524597297073,0.32704116974654057,0.012913946289231454,0.003424408014571949,0.005413350739040014,0.009705525197328473
LSIS_LIA,no_update_S4_2,0.48697394789579157,0.08852459016393442,0.1498150431565968,0.3612629022465088,0.3868309211796607,0.13922722018711817,0.204758332219084,0.31682693494031783,0.014401295999312254,0.0022131147540983605,0.0038366356926228034,0.009204614450516091
LSIS_LIA,no_update_S4_3,0.48697394789579157,0.08852459016393442,0.1498150431565968,0.3612629022465088,0.3868309211796607,0.13922722018711817,0.204758332219084,0.3166764029031687,0.014401295999312254,0.0022131147540983605,0.0038366356926228034,0.009204614450516091
WiscDEFT,run1,0,0,0,0.3332119004250152,0,0,0,0.316547619047619,0,0,0,0.008330297510625377
WiscDEFT,test,0,0,0,0.3333333333333333,0,0,0,0.31666666666666665,0,0,0,0.008333333333333331
WiscDEFT,run2,0,0,0,0.3332119004250152,0,0,0,0.316547619047619,0,0,0,0.008330297510625377
WiscDEFT,baseline2,0.6666666666666666,0.0007285974499089253,0.0014556040756914118,0.3336976320582878,0.1,0.005144508670520231,0.009785596481583288,0.3199772914946325,0.003242258652094718,1.8214936247723133e-05,3.622635365468958e-05,0.008342440801457192
WiscDEFT,baseline,0.6666666666666666,0.0007285974499089253,0.0014556040756914118,0.3336976320582878,0.1,0.005144508670520231,0.009785596481583288,0.3199772914946325,0.003242258652094718,1.8214936247723133e-05,3.622635365468958e-05,0.008342440801457192
IRIT,sig_irit_3,0.3469387755102041,0.01238615664845173,0.02391839606049947,0.3345476624165149,0.25,0.06022784315225746,0.09707033794948265,0.32514121311088834,0.008257437765634488,0.0003096539162112933,0.0005969232119735775,0.008415300546448087
IRIT,sig_irit_2,0.83,0.0907103825136612,0.16354679802955666,0.3876138433515483,0.33740384615384617,0.06228303413936815,0.1051549915941081,0.33675993373807905,0.015098203026481717,0.00226775956284153,0.003943241743026367,0.009711596842744384
IRIT,sig_irit_1,0.6614173228346457,0.030601092896174863,0.0584958217270195,0.3485124468731026,0.2887535612535612,0.036607797296640134,0.06497779506549695,0.31172500916560825,0.015586231635867337,0.0007650273224043716,0.0014584678874197494,0.008776563448694595
gatordsr,gatordsr_infer,0.6511627906976745,0.010200364298724954,0.020086083213773313,0.33831208257437767,0.3411525974025974,0.018737148157262323,0.03552325033225558,0.3161314711639956,0.01817813675395643,0.00025500910746812386,0.0005029624855039994,0.008457802064359442
gatordsr,gatordsr_new,0,0,0,0.3333333333333333,0,0,0,0.31666666666666665,0,0,0,0.008333333333333331
gatordsr,gatordsr_final,0.6410256410256411,0.009107468123861567,0.01795977011494253,0.3377049180327869,0.3366071428571429,0.018185207922223497,0.034506216763220736,0.32131906656285864,0.0180622235232891,0.00022768670309653916,0.00044970457194235756,0.008442622950819672
uiucGSLIS,static02,0.3080283997815401,0.20546448087431693,0.24650349650349648,0.3333333333333333,0.2890385740945267,0.2100004212265127,0.24326043808064787,0.36392361396249245,0.010981388299030897,0.005136612021857924,0.006999271625573647,0.009304796599878566
