target_id,maxF,medianF,meanF,minF,maxSU,medianSU,meanSU,minSU
http://en.wikipedia.org/wiki/Geoffrey_E._Hinton,0.37037037037037035,0.0,0.5708906224793766,0,0.48484848484848486,0.3333333333333333,2.87878787878788,0
http://en.wikipedia.org/wiki/Hoboken_Reporter,0.6666666666666666,0.0,0.6574936926465498,0,0.6666666666666666,0.3333333333333333,2.9166666666666674,0
http://en.wikipedia.org/wiki/Fargo-Moorhead_Symphony_Orchestra,0.6923076923076923,0.05791505791505791,1.232974870138195,0,0.6888888888888888,0.3333333333333333,3.014285714285715,0
"http://en.wikipedia.org/wiki/The_Ritz_Apartment_(Ocala,_Florida)",1.0,0.0,1.5542132919492235,0,1.0,0.3333333333333333,3.583333333333337,0
http://en.wikipedia.org/wiki/Hjemkomst_Center,0.8341708542713568,0.5807962529274004,4.938756841683656,0,0.8604651162790699,0.5910852713178295,6.05052602436323,0.3333333333333333
http://en.wikipedia.org/wiki/Elysian_Charter_School,0.5714285714285713,0.2222222222222222,1.833443272296833,0,0.5757575757575758,0.3333333333333333,3.0497835497835526,0
http://en.wikipedia.org/wiki/Carla_Katz,1.0,0.0,0.10233419335754255,0,1.0,0.3333333333333333,2.6666666666666656,0
http://en.wikipedia.org/wiki/Sara_Bronfman,0.8292682926829268,0.5789473684210527,4.675574220902132,0,0.8055555555555557,0.5833333333333334,5.51289682539683,0.3333333333333333
http://en.wikipedia.org/wiki/Brenda_Weiler,0.4210526315789474,0.04289575067563682,0.7795085059486221,0,0.5,0.3333333333333333,2.86904761904762,0
http://en.wikipedia.org/wiki/Olaus_Murie,0,0.0,0.0,0,0,0.0,0.0,0
http://en.wikipedia.org/wiki/Jennifer_Baumgardner,0.3870967741935483,0.05510018214936248,0.9055706549086262,0,0.47826086956521735,0.3333333333333333,2.734989648033127,0
http://en.wikipedia.org/wiki/Agroindustrial_Pomalca,1.0,0.0,3.6663265306122446,0,1.0,0.3333333333333333,5.769841269841271,0.3333333333333333
http://en.wikipedia.org/wiki/David_B._Danbom,0,0.0,0.0,0,0,0.0,0.0,0
http://en.wikipedia.org/wiki/Carey_McWilliams_(marksman),0,0.0,0.0,0,0,0.0,0.0,0
http://en.wikipedia.org/wiki/Jamie_Parsley,0.7468354430379746,0.41863309352517986,3.822623200026257,0,0.7740112994350282,0.38983050847457623,4.462873284907185,0.12429378531073447
micro_average,0.35269576379974327,0.2225185552794682,1.9172224784074248,0,0.3887563884156729,0.3332197614991482,2.9157702604039923,0
http://en.wikipedia.org/wiki/Innovis_Health,1.0,0.08712121212121211,2.533260110571033,0,1.0,0.3333333333333333,3.7142857142857157,0
http://en.wikipedia.org/wiki/Corn_Belt_Power_Cooperative,0.634920634920635,0.10526315789473684,1.6798862304612179,0,0.6388888888888888,0.3333333333333333,3.3769841269841305,0
http://en.wikipedia.org/wiki/Susan_Krieg,0,0.0,0.0,0,0,0.0,0.0,0
http://en.wikipedia.org/wiki/Barbara_Liskov,0.8088235294117647,0.0,2.1534924583960477,0,0.8164251207729469,0.3333333333333333,4.325741890959287,0.3140096618357488
http://en.wikipedia.org/wiki/Nicolas_Sch%C3%B6ffer,0,0.0,0.0,0,0,0.0,0.0,0
http://en.wikipedia.org/wiki/Daniel_J._Crothers,0.8571428571428571,0.0,2.0607469636417006,0,0.8333333333333334,0.3333333333333333,3.8809523809523854,0
http://en.wikipedia.org/wiki/Paul_Marquart,0.8664987405541561,0.23957436633189866,3.570274912683586,0,0.8882681564245809,0.41806331471135944,5.3506251662676245,0.3258845437616387
http://en.wikipedia.org/wiki/Gretchen_Hoffman,0.2857142857142857,0.06957047791893527,0.710542494107432,0,0.3703703703703704,0.3333333333333333,2.740740740740741,0
http://en.wikipedia.org/wiki/William_H._Miller_(writer),0.33333333333333337,0.0,0.19685197011695774,0,0.3333333333333333,0.3333333333333333,2.761904761904762,0
http://en.wikipedia.org/wiki/Joshua_Zetumer,0.6557377049180327,0.3322157294760035,2.6811138985286678,0,0.6538461538461539,0.3333333333333333,3.288461538461541,0
http://en.wikipedia.org/wiki/Jack_Lazorko,0.8,0.0,2.197437086722802,0,0.7777777777777777,0.3333333333333333,4.031746031746037,0
http://en.wikipedia.org/wiki/William_P._Gerberding,0,0.0,0.0,0,0,0.0,0.0,0
http://en.wikipedia.org/wiki/Ruben_J._Ramos,0.6386554621848739,0.4576599870717518,3.382797352002354,0,0.6346153846153846,0.44871794871794873,4.402014652014653,0.3076923076923077
http://en.wikipedia.org/wiki/Reid_Nichols,0,0.0,0.0,0,0,0.0,0.0,0
http://en.wikipedia.org/wiki/Intergroup_Financial_Services,0,0.0,0.0,0,0,0.0,0.0,0
http://en.wikipedia.org/wiki/Haven_Denney,0.8846153846153847,0.3125,3.857697653929019,0,0.9027777777777777,0.4305555555555556,5.366071428571429,0.3333333333333333
http://en.wikipedia.org/wiki/IDSIA,0.4,0.0,0.3776298286374911,0,0.3333333333333333,0.3333333333333333,2.726190476190476,0
http://en.wikipedia.org/wiki/Appleton_Museum_of_Art,0.9545454545454545,0.20730397422126745,3.3806845802277095,0,0.9420289855072465,0.36231884057971014,4.422360248447208,0
weighted_average,0.0024303190081120616,0.0013320919826665827,0.012749389396406574,0,0.0018462462631581413,0.0014578962929590153,0.01532726991144213,0.0012450664301368961
http://en.wikipedia.org/wiki/Ed_Bok_Lee,0.7272727272727273,0.3422997339639373,3.4479092684299752,0,0.7428571428571429,0.3666666666666667,4.154421768707485,0
http://en.wikipedia.org/wiki/Chiara_Nappi,0,0.0,0.0,0,0,0.0,0.0,0
